m iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880591,# Direct Submission,,
AMT77018.1,,Bradyrhizobium iriomotense,"# Rhem,M.F.K., Silva,V.C., dos Santos,J.M.F., dos Santos,H.R.M. and # Gross,E.",,Mariana F.K. Rhem,,Brazil,06-APR-2016,"Bradyrhizobium iriomotense strain BRUESC655 nitrogenase reductase (nifH) gene, partial cds.",Bradyrhizobium iriomotense,nifH,Inga laurina,nodule,,genomic DNA,NifH,2..388 KT880592,# Direct Submission,,
ARA13248.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FSGCJ,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FSGCJ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718005,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13249.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F2JOI,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F2JOI nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718006,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13250.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GEI5I,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GEI5I nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718007,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13251.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F7BGB,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F7BGB nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718008,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13252.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F2WEK,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F2WEK nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718009,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13253.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F8KHP,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F8KHP nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718010,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13254.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F45KF,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F45KF nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718011,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13255.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GB2T2,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GB2T2 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718012,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13256.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FO7W0,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FO7W0 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718013,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13257.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FWF4P,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FWF4P nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718014,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13258.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F28JM,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F28JM nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718015,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13259.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FUEBD,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FUEBD nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718016,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13260.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FZXIG,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FZXIG nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718017,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13261.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FTI3L,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FTI3L nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718018,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13262.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FO1OM,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FO1OM nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718019,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13263.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FRKDQ,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FRKDQ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718020,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13264.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FTWVZ,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FTWVZ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718021,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13265.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F25TU,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F25TU nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718022,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13266.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FVTM0,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FVTM0 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718023,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13267.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F5PKZ,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F5PKZ nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718024,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13268.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F3EQM,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F3EQM nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718025,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13269.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F0SNB,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F0SNB nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718026,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13270.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FSMMV,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FSMMV nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718027,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13271.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F2ERW,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F2ERW nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718028,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13272.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FUP8B,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FUP8B nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718029,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13273.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FX099,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FX099 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718030,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13274.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F97GV,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F97GV nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718031,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13275.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FZDUR,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FZDUR nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718032,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13276.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05GCG71,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05GCG71 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718033,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13277.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F2HC1,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F2HC1 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718034,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13278.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05FXTKH,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05FXTKH nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718035,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
ARA13279.1,,uncultured bacterium,"# Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W. # Etto,R.M., Schneider,B.S.F., Jesus,E.C., Cruz,L.M., Galvao,F., # Souza,E.M., Ayub,R.A., Pedrosa,F.O., Steffens,M.B.R. and # Galvao,C.W.",GHXIEBM05F3YQ9,,,"Brazil: Forest Atlantic, Parana, Third Plateau",26-MAR-2017,"Uncultured bacterium clone GHXIEBM05F3YQ9 nitrogenase iron protein (nifH) gene, partial cds.",uncultured bacterium,nifH,,"Acidic Peatland, 20cm depth",26.34 S 51.41 W,genomic DNA,NifH,KX718036,"# Diversity of diazotrophic bacteria of Acidic Peatlands from the Third Plateau, Parana State, Brazil # Direct Submission",,
